h3,city,no_vehicle,buildings,lat,lon
892a30665cbffff,Boston,513.8642480339863,8,42.37676724549143,-71.03972850582085
892a3066077ffff,Boston,509.95679249926474,5,42.364693786552884,-71.06848806262965
892a306616bffff,Boston,504.00000000000006,7,42.34492875269161,-71.0630779447956
892a30640b3ffff,Boston,503.2501166083191,31,42.33150839926812,-71.1119025267512
892a3064543ffff,Boston,501.4878479502493,55,42.33459380436301,-71.10663157916885
892a306624fffff,Cambridge,499.58878786095534,53,42.36890802953716,-71.10819678624554
892a30671a3ffff,Cambridge,497.84110279517137,23,42.36566702167049,-71.11441013010749
892a3066373ffff,Boston,494.61806274551475,7,42.347271424950456,-71.0872856507951
892a30645d3ffff,Boston,492.97079974266455,41,42.342876201788826,-71.09628580858869
892a30663b7ffff,Boston,486.2224889427548,33,42.34790635814242,-71.063195740718
892a3066143ffff,Boston,484.037602789921,8,42.35247497863833,-71.06067667089438
892a3066113ffff,Boston,482.44648897881876,3,42.35225272878796,-71.0472340913734
892a3066a4bffff,Boston,482.0715481369843,50,42.31470436584579,-71.09708240578088
892a306454fffff,Boston,477.375886372103,31,42.33154752851903,-71.11015306381283
892a3064607ffff,Boston,471.05391352185313,55,42.3476679036368,-71.13893279359272
892a30645afffff,Boston,470.40973788334037,32,42.32608856359483,-71.0865012465301
892a3066313ffff,Boston,468.1662986973143,195,42.35314177418299,-71.07797144871985
892a30663bbffff,Boston,467.7043008830429,5,42.349740659341606,-71.07108738630318
892a3066393ffff,Boston,461.7551057830791,129,42.35863174654207,-71.06887082739024
892a3064443ffff,Boston,450.20225874087674,7,42.35245125186952,-71.12227393295991
892a30644afffff,Boston,448.8601552443018,7,42.34520880419945,-71.10315844267889
892a306628fffff,Cambridge,446.01730616962493,70,42.371577369212375,-71.0882645509447
892a3066263ffff,Cambridge,444.04823448383985,172,42.36324876852146,-71.10431622450679
892a3066e53ffff,Boston,442.88839468025327,17,42.33667024753529,-71.07440231853882
892a3064dc7ffff,Boston,442.31270432690036,23,42.28060940867383,-71.08297862549921
892a3066e43ffff,Boston,441.7030750736611,13,42.33538637983781,-71.07584875672384
892a306637bffff,Boston,438.4111618694456,16,42.34765208869382,-71.09075980658614
892a306631bffff,Boston,437.79164245790327,91,42.352535700678835,-71.08198062356607
892a3064503ffff,Boston,435.0,1,42.33247629237499,-71.09520030901416
892a3066547ffff,Boston,433.3868725754062,12,42.37002995213023,-71.04181860679417
892a3066a73ffff,Boston,432.56536144285167,41,42.30946149943389,-71.08666309729418
892a306612fffff,Boston,431.00000000000006,4,42.33962895294667,-71.04906313584264
892a306630bffff,Boston,428.81934731684885,49,42.35040236282987,-71.08463509730193
892a3066277ffff,Cambridge,424.31061808135865,50,42.36421883481333,-71.09937849600287
892a3066247ffff,Cambridge,423.270340949184,70,42.36879729164869,-71.10382868033284
892a306452bffff,Boston,420.63640851399987,11,42.32329595212217,-71.09813685951718
892a3066007ffff,Boston,418.0156851186914,3,42.36613203132362,-71.06181654951459
892a3064d9bffff,Boston,412.14466617920976,31,42.28294726792841,-71.07657004148707
892a306428bffff,Boston,411.99999999999994,2,42.337920893497866,-71.15269322539424
892a30664afffff,Boston,411.52710574773965,79,42.38217940230428,-71.03845794729129
892a3066047ffff,Cambridge,406.6525846157673,5,42.369707877044384,-71.07336078844352
892a30645a7ffff,Boston,397.6561062576277,57,42.325781948589125,-71.08338412043065
892a30645cfffff,Boston,396.46082521698634,10,42.33585884291231,-71.10102808143026
892a306747bffff,Cambridge,395.0,1,42.404167,-71.134514
892a30665c7ffff,Boston,389.9356017242128,72,42.37554041439225,-71.0329576428048
892a306627bffff,Cambridge,384.1427005594232,36,42.36618039919414,-71.10688190625595
892a3066407ffff,Boston,381.0,1,42.385686,-71.048186
892a306463bffff,Boston,375.368887189329,41,42.34467030076946,-71.14120647574639
892a3066067ffff,Boston,373.001554727774,69,42.36008341238839,-71.07055859749238
892a30662a7ffff,Cambridge,371.6447927021896,3,42.36350907759219,-71.0831891169043
892a306444bffff,Boston,368.7766773889524,88,42.3530708157201,-71.12712641349594
892a3064567ffff,Boston,368.7179589853454,6,42.32288703924265,-71.10262333502214
892a3066b2fffff,Boston,367.3138668465873,16,42.28312176649458,-71.06494175818203
892a3064623ffff,Boston,363.401735356606,14,42.341904996776655,-71.14140736597363
892a30640b7ffff,Boston,361.37714751644694,24,42.32943676925593,-71.11083769927536
892a306630fffff,Boston,359.70939294412545,2,42.34745094861195,-71.08358620735187
892a306615bffff,Boston,358.0356374801551,69,42.35565576580613,-71.06179910419242
892a306614fffff,Boston,354.4933586540252,5,42.351361012265556,-71.06233335528017
892a3067573ffff,Cambridge,352.98863061778627,29,42.384891783335334,-71.11722145951401
892a30663abffff,Boston,351.9807430523718,7,42.348191072300665,-71.07395252466348
892a3064dcfffff,Boston,338.50218589827284,25,42.28091358994955,-71.08679860000478
892a30665d7ffff,Boston,337.8322947570292,208,42.37728322264869,-71.03153030660998
892a3067523ffff,Cambridge,337.77093049403373,15,42.37923100785999,-71.1093413789682
892a3066e93ffff,Boston,337.4251811515945,2,42.33967017060756,-71.05345568410691
892a3066333ffff,Boston,337.0618704236561,258,42.344665937908644,-71.07593665163631
892a3066a7bffff,Boston,335.8315207419078,31,42.31095306885532,-71.0921593548822
892a306604bffff,Cambridge,335.41001328918634,56,42.37193045891933,-71.08047676280765
892a306440bffff,Boston,328.0,1,42.351017,-71.115808
892a30642d7ffff,Boston,327.71228821092814,10,42.339761754675564,-71.15482807431181
892a30662cfffff,Cambridge,323.11322401246537,32,42.37379062501812,-71.09937169343571
892a3066117ffff,Boston,319.4182744521915,4,42.35042638097103,-71.04363840449669
892a30661dbffff,Boston,317.9313966881804,6,42.36135951698758,-71.0528695348251
892a3064597ffff,Boston,317.8771280395221,134,42.33626271197222,-71.08328378528996
892a3067547ffff,Cambridge,311.72975695467323,38,42.38784601000201,-71.11997357190418
892a306412bffff,Boston,309.0286641746826,55,42.30434976402299,-71.11558265176583
892a306444fffff,Boston,305.27215096044705,15,42.351067557776496,-71.12519140110489
892a3066b8fffff,Boston,305.00088762900253,1,42.295532231681484,-71.06018847249777
892a306668fffff,Boston,305.0,1,42.391796,-71.073496
892a306651bffff,Boston,303.1254347258831,7,42.3715203646464,-71.03726009127062
892a3074b83ffff,Boston,302.0,3,42.392968398574794,-71.00740908157296
892a3066267ffff,Cambridge,300.2432104940805,29,42.3615197867314,-71.1032676371682
892a30665d3ffff,Boston,298.83412568257353,232,42.37976655133851,-71.0332560384826
892a3066b47ffff,Boston,295.8795660394878,57,42.2934409768013,-71.0742626452473
892a30671b3ffff,Cambridge,294.59787961118735,67,42.368703825711094,-71.11294098068724
892a306756fffff,Cambridge,290.4556390185582,48,42.37999310949849,-71.12188072833239
892a30671b7ffff,Cambridge,287.71277102939166,81,42.366747385049926,-71.11010183657775
892a3066367ffff,Boston,286.8989587386065,20,42.34168764047503,-71.08751911148532
892a30644abffff,Boston,286.79843695104984,63,42.346862391992275,-71.10497908500874
892a3066303ffff,Boston,286.22887099643515,24,42.35105467843986,-71.07993027679218
892a30670c7ffff,Cambridge,284.21709675430907,4,42.39330510482718,-71.1409386664707
892a30663afffff,Boston,283.4526679604437,181,42.34434160274978,-71.07140577745643
892a306620fffff,Cambridge,280.5322374787703,161,42.36630099390582,-71.09756303093134
892a3066307ffff,Boston,279.03468188078466,15,42.347030200600805,-71.07813360369703
892a3066203ffff,Cambridge,278.38464057932725,111,42.3689182226905,-71.09532970627583
892a30661c3ffff,Boston,278.3620771565183,9,42.35885592721676,-71.05149942070356
892a3066a97ffff,Boston,272.4258832794327,14,42.31780654408209,-71.0693513393623
892a306755bffff,Cambridge,268.44346437153945,28,42.39251346698624,-71.12307637508545
892a306455bffff,Boston,267.9946866745431,17,42.336860076756636,-71.10870625151061
892a3064403ffff,Boston,263.0,1,42.350446,-71.110936
892a30645b7ffff,Boston,258.4456756419069,5,42.32935499607793,-71.08151827108233
892a3066027ffff,Boston,257.71940235299763,21,42.3573928533326,-71.06026741229275
892a3066ea7ffff,Boston,256.5331882731497,7,42.325642042449765,-71.05308780027248
892a306621bffff,Cambridge,255.9085477345755,86,42.371680145099205,-71.09752312606979
892a306634fffff,Boston,254.95307510343446,43,42.3498540943732,-71.09396090475319
892a3066ea3ffff,Boston,252.45643437172976,26,42.32888790231794,-71.05481581030412
892a3064617ffff,Boston,251.69286647879906,98,42.34994564261633,-71.13696572376958
892a3066607ffff,Boston,248.5369344467207,8,42.3846497115146,-71.07760681376601
892a3066adbffff,Boston,247.03175369607533,103,42.323387119899415,-71.08461244612482
892a3066a93ffff,Boston,246.28802482633435,40,42.321759140015274,-71.0699607384042
892a3066c4bffff,Boston,245.68004822418203,250,42.334638833945895,-71.05005060798915
892a3066383ffff,Boston,245.42833132536165,57,42.356143324917795,-71.07160082475578
892a3064667ffff,Boston,243.0,6,42.3422737023766,-71.14875922282884
892a3066b23ffff,Boston,242.83677751524874,39,42.28630603295753,-71.06335150042621
892a3066c57ffff,Boston,241.59192717673614,118,42.333508827023316,-71.04035060888438
892a306625bffff,Cambridge,240.5892903409179,55,42.37425907522392,-71.10808438685486
892a306468bffff,Boston,239.8747258825209,77,42.35544976949987,-71.13739701289111
892a3064423ffff,Boston,239.0,1,42.342272,-71.108225
892a3066a2fffff,Boston,237.426787039131,90,42.30257343096497,-71.08189876897278
892a3066287ffff,Cambridge,236.1795814057307,124,42.371428812439824,-71.08397144179456
892a306689bffff,Boston,236.0,1,42.32120483886091,-71.04384365732051
892a30644b7ffff,Boston,233.75435884284497,9,42.347488089244784,-71.09422525145234
892a30662b3ffff,Cambridge,229.50302240203942,220,42.3689247355672,-71.08222703543802
892a3066a1bffff,Boston,228.19154453140754,88,42.314981497279476,-71.0821790732374
892a3064297ffff,Boston,225.04247825451267,5,42.337541505892645,-71.14647023790072
892a3064547ffff,Boston,222.98587033050524,3,42.33068445595921,-71.10510643414942
892a3066edbffff,Boston,220.69324435740884,117,42.342843366166164,-71.06996768291808
892a30646c7ffff,Boston,218.58239487771905,17,42.354812280210055,-71.1421873277269
892a3066217ffff,Cambridge,218.0858647102088,122,42.368981724966275,-71.09101827998082
892a3066b4bffff,Boston,217.7456067215067,143,42.29661096828324,-71.0817036731418
892a3066c13ffff,Boston,217.23851732197642,126,42.333343330938845,-71.03204382664842
892a3064d57ffff,Boston,215.72757756579406,1,42.278176946596815,-71.08698071230468
892a306428fffff,Boston,215.1038395497879,3,42.334436491523284,-71.15113812942025
892a3066a0fffff,Boston,215.0234403615322,90,42.31012955826847,-71.08359794930584
892a306454bffff,Boston,214.4876133167727,20,42.33313600783393,-71.11090331082143
892a3066243ffff,Cambridge,214.29518408980877,54,42.371366810761366,-71.10660957600618
892a306638fffff,Boston,213.69102234817967,88,42.35335539270249,-71.07390991657094
892a306458fffff,Boston,212.93683169952138,9,42.33415864617455,-71.0881414160674
892a30644d7ffff,Cambridge,209.88775575349283,195,42.35832354388143,-71.10865377695629
892a3066b07ffff,Boston,209.73583044975254,189,42.290969859304575,-71.06391000508768
892a3066043ffff,Cambridge,207.3650833370378,3,42.371548921403935,-71.07526423190996
892a306468fffff,Boston,206.411149749402,96,42.35231744701811,-71.13555919748514
892a3064283ffff,Boston,205.29654763573862,12,42.33678878194215,-71.14810551584962
892a3066023ffff,Boston,203.63188056613595,26,42.36040743842581,-71.06380235344747
892a3064587ffff,Boston,203.6044048131767,26,42.33537728213886,-71.08452780347953
892a3064577ffff,Boston,201.08185221743332,36,42.32656449452375,-71.10111393820706
892a30644a3ffff,Boston,199.63987160134516,5,42.347893022079916,-71.09991904510593
892a3066ad3ffff,Boston,199.63810397879183,26,42.32318010396654,-71.08245139685052
892a30662a3ffff,Cambridge,199.48890767947665,6,42.366879511391545,-71.08355444804222
892a3066a03ffff,Boston,197.79545231112672,174,42.31273943557828,-71.08110745936833
892a306626bffff,Cambridge,197.6434858718022,157,42.36353743301119,-71.10859755819659
892a3066167ffff,Boston,196.7693480555611,8,42.34218699115971,-71.05632063417093
892a3064c87ffff,Boston,196.67542369583762,129,42.29636262346473,-71.08589483791826
892a3064a67ffff,Boston,196.608467032212,27,42.26612469504348,-71.15088968616948
892a3064613ffff,Boston,195.73037610167322,137,42.35276201848078,-71.14010338174967
892a3064db7ffff,Boston,195.56182901064636,20,42.27271712260589,-71.06785097176306
892a3066a77ffff,Boston,194.06625416033765,118,42.30721017277383,-71.08528846828209
892a3066c5bffff,Boston,193.8145792737193,158,42.336330880950165,-71.04706446928789
892a306757bffff,Cambridge,193.09853417770196,43,42.38520416995417,-71.1218192859497
892a3064603ffff,Boston,192.9283549838424,76,42.35081537645467,-71.14146285005282
892a3066ec3ffff,Boston,192.42866414159465,6,42.339843694158276,-71.06822359010901
892a3067187ffff,Cambridge,190.53065032860155,20,42.371562235324085,-71.1146048851503
892a3066e37ffff,Boston,189.1552517568918,160,42.32338356799142,-71.05847330463429
892a3064293ffff,Boston,189.0,1,42.339657,-71.144779
892a3066ecbffff,Boston,188.72189805150816,32,42.33960420148964,-71.07054695256292
892a3066c47ffff,Boston,188.69441924362218,38,42.33181728372817,-71.04141936999378
892a3064687ffff,Boston,188.51722481813164,88,42.35304536838668,-71.13039166074147
892a3066543ffff,Boston,188.1472623940521,6,42.37113942820771,-71.04286283836497
892a3074b6fffff,Boston,187.97517258637302,31,42.37973035711657,-71.0303547504445
892a306626fffff,Cambridge,187.5745723651679,194,42.36104552216056,-71.10628875939568
892a30671a7ffff,Cambridge,187.32715058793912,83,42.36382943166315,-71.11255002844022
892a3067397ffff,Cambridge,186.1670808230283,6,42.375391215593446,-71.14327713602151
892a30649c3ffff,Boston,185.85473501975406,208,42.26424055515015,-71.09954371417419
892a3064ba3ffff,Boston,183.6851893378274,4,42.253820132790615,-71.11896882668387
892a306638bffff,Boston,183.2967696860808,64,42.354597884189566,-71.07525948214135
892a30661cbffff,Boston,183.02244649921667,1,42.35904521120955,-71.05356734319548
892a3066157ffff,Boston,179.43464347046364,1,42.351543934640794,-71.05494199928242
892a3066a83ffff,Boston,179.20078139498727,140,42.31798403535621,-71.07222519031886
892a3066aa7ffff,Boston,179.04767674157702,84,42.306780823735686,-71.06884382150325
892a3067527ffff,Cambridge,178.6037580388621,43,42.37665580707739,-71.10680294178013
892a3066e83ffff,Boston,178.32737917812366,10,42.33771208162811,-71.05519637516436
892a3074903ffff,Boston,178.0,1,42.387138,-70.986621
892a3067197ffff,Cambridge,177.50629802534252,17,42.37480641704125,-71.1123299432141
892a306620bffff,Cambridge,177.2478158674451,87,42.369018763820804,-71.09909126453594
892a3064a8fffff,Boston,176.94602800789545,33,42.277006050773814,-71.13652118220571
892a3074b0fffff,Boston,176.09297149790868,2,42.384531003209744,-71.02036355235822
892a30641abffff,Boston,175.5506034405062,5,42.30936258817861,-71.104851390488
892a3067177ffff,Boston,175.34721903471362,10,42.36243158672188,-71.13038384417402
892a30660cfffff,Boston,175.0056662459324,2,42.37457040623951,-71.0671006185215
892a3066b9bffff,Boston,173.8775044664927,12,42.302451911821684,-71.05952707858192
892a306452fffff,Boston,171.63811818752762,5,42.32165894051089,-71.0966681423034
892a30671afffff,Boston,171.13929324392555,1,42.364653003384454,-71.1191106711227
892a3066377ffff,Boston,170.624424949226,1,42.344437140712174,-71.08683919597092
892a3065dbbffff,Boston,170.3439397222581,3,42.2929931615218,-71.14938769548569
892a30641b3ffff,Boston,168.71164640288234,149,42.31288890584422,-71.09859162781336
892a30670cfffff,Cambridge,167.65382220925596,5,42.39324141085201,-71.14515664987593
892a3066853ffff,Boston,167.47462769326853,210,42.31797410329989,-71.05875752610972
892a3066147ffff,Boston,167.41659632793147,2,42.34967575180362,-71.05992714895123
892a3067467ffff,Cambridge,167.29312331346765,113,42.398779938027026,-71.13206243066078
892a306419bffff,Boston,167.0658819961969,89,42.320710076635784,-71.10551609568286
892a306608bffff,Boston,166.08684290869732,55,42.37534830050852,-71.05881647251925
892a3066b67ffff,Boston,165.07029312093914,39,42.2866896541725,-71.07297804199696
892a30671d3ffff,Cambridge,164.93707927172565,65,42.379744766853534,-71.12583076766329
892a3064c97ffff,Boston,164.83090368391626,177,42.29889891924224,-71.08373156746613
892a3066e1bffff,Boston,164.0,1,42.3342651806975,-71.06578476090199
892a3066887ffff,Boston,163.61908430004254,2,42.316306213498024,-71.03918981747546
892a3066097ffff,Boston,163.55162793448994,1,42.37410324152303,-71.04974061001232
892a3066ac3ffff,Boston,161.94856092587298,110,42.32072737948522,-71.08359862231109
892a3066bdbffff,Boston,161.20155319364417,175,42.30464986665778,-71.07031134556841
892a30661abffff,Boston,161.0602846455874,2,42.34819360491842,-71.04165910792834
892a3066a5bffff,Boston,158.8309324019243,86,42.31756229985049,-71.09400532731632
892a306628bffff,Cambridge,158.23759192532341,6,42.37355833282825,-71.09132684721479
892a3066273ffff,Cambridge,157.2714484022002,87,42.36641950344253,-71.1013458701015
892a3066533ffff,Boston,156.86822062674787,14,42.36415121160475,-71.03027816206753
892a3066507ffff,Boston,156.0,6,42.36682763822605,-71.03259059780349
892a3066e7bffff,Boston,156.0,1,42.329672962741796,-71.0777075549291
892a306684fffff,Boston,155.92971307136048,109,42.31285041136729,-71.06306340148308
892a3066153ffff,Boston,155.83395449067942,6,42.35638090719845,-71.05968240616504
892a306609bffff,Boston,155.25079203331939,116,42.37671869034307,-71.05842992915102
892a3066847ffff,Boston,154.72958964714005,154,42.31278905035844,-71.05907443099453
892a30645b3ffff,Boston,154.12053240575318,2,42.33083073121307,-71.0824745081878
892a3064593ffff,Boston,154.05366752442833,9,42.33940417796249,-71.08339111728478
892a30660d7ffff,Boston,153.07390564599928,252,42.377328627623314,-71.06205336394946
892a3064b93ffff,Boston,152.12734995098705,62,42.263797712414636,-71.1167086998755
892a3066acfffff,Boston,151.78950919608278,32,42.31825990147461,-71.08507329901806
892a3066bc3ffff,Boston,151.73812363187633,142,42.301740826633086,-71.06890652638705
892a306636bffff,Boston,150.717125786578,13,42.344774561152335,-71.09483378701813
892a3066b3bffff,Boston,150.44617869953052,87,42.28909579286775,-71.06590578990338
892a30662bbffff,Cambridge,150.02750043204665,116,42.36939872739857,-71.08540543457303
892a3066233ffff,Cambridge,149.78835682078434,1,42.36477311548201,-71.0919612480492
892a306684bffff,Boston,149.4342656655557,15,42.31417554695319,-71.06508354168962
892a30661a3ffff,Boston,148.18390120362668,3,42.34805570507216,-71.0381810057474
892a306411bffff,Boston,147.9675830582156,28,42.31529080571337,-71.11463858710917
892a30640a7ffff,Boston,147.9284916309916,4,42.32569008761672,-71.11179478681966
892a3067567ffff,Cambridge,147.73503225746566,18,42.38003141989281,-71.11817845816843
892a30668cbffff,Boston,147.18146752455723,170,42.32073579091854,-71.05650450143864
892a3066c0bffff,Boston,146.40354372956662,207,42.33207787633104,-71.03912300622889
892a3066c53ffff,Boston,146.37882810364238,90,42.33679986761042,-71.04317789582514
892a306687bffff,Boston,145.9875507648313,80,42.31003130744895,-71.06125289445914
892a3064677ffff,Boston,145.42518984061792,54,42.345390340648024,-71.14756095990616
892a3066a23ffff,Boston,145.0944647124808,120,42.3044761316891,-71.07936448348029
892a3067623ffff,Cambridge,145.0,1,42.397564,-71.15494
892a306605bffff,Cambridge,145.0,1,42.374005,-71.075911
892a30670cbffff,Cambridge,144.59093359880896,2,42.395017951263576,-71.14730190012699
892a3064c8fffff,Boston,143.96220731650357,71,42.29647683735155,-71.08951340088068
892a3066a33ffff,Boston,143.94408031255506,116,42.307368473227726,-71.07708160506175
892a3066e2fffff,Boston,143.0,6,42.3202723068999,-71.06439994501076
892a30641d7ffff,Boston,142.63651493172702,9,42.32086374173233,-71.11023447418938
892a30663b3ffff,Boston,141.23855616978352,5,42.350581632107286,-71.06819904621011
892a3066133ffff,Boston,141.0,3,42.34466754567952,-71.04350895397766
892a3066bd3ffff,Boston,140.71508184947672,33,42.30495559100442,-71.06477635990431
892a30644dbffff,Cambridge,140.5891239327299,10,42.36118800934635,-71.11387106473171
892a3066a2bffff,Boston,140.0321663643723,160,42.30462548322582,-71.08304711149057
892a30670b3ffff,Cambridge,139.90924405343262,58,42.387901357842914,-71.12787156100968
892a3066a8fffff,Boston,137.5981563932292,182,42.31527847491616,-71.07434203253145
892a30644c3ffff,Cambridge,137.54435588153962,123,42.35828848585276,-71.11261908015346
892a306610fffff,Boston,137.0560584659139,3,42.3468424727663,-71.05048831946736
892a30665c3ffff,Boston,135.96042717634882,63,42.37720081819362,-71.03410868368982
892a3064583ffff,Boston,135.87024731848635,19,42.33678403735638,-71.08625502514992
892a3064697ffff,Boston,135.77101149026106,97,42.3547188784886,-71.12840956244801
892a3064693ffff,Boston,134.95579797877846,62,42.35838718823711,-71.13116996704714
892a3066103ffff,Boston,134.49885850022443,7,42.349947061330965,-71.04901985958642
892a3066bd7ffff,Boston,134.01219831953512,32,42.302388591766224,-71.0634514126455
892a3066397ffff,Boston,133.9400714340223,19,42.356828112001075,-71.06775129887973
892a30660a7ffff,Boston,133.45544260025767,8,42.36366969501746,-71.0516730367996
892a3064e23ffff,Boston,133.0,24,42.28625609396406,-71.12602915575935
892a30668dbffff,Boston,132.9284171311539,33,42.32286189923929,-71.05547790273867
892a306756bffff,Cambridge,132.04611799034512,18,42.38250975485047,-71.12372006242215
892a3064c37ffff,Boston,131.6321398742947,69,42.28619236484191,-71.09131255634266
892a3066bcbffff,Boston,131.61672391564966,188,42.30182141613249,-71.07229830213198
892a3064ca7ffff,Boston,131.5442579600375,137,42.28804060705771,-71.08377721707032
892a306460fffff,Boston,131.38476663919812,2,42.34655050577274,-71.1453089751235
892a3066eafffff,Boston,131.259641744952,58,42.325640839544974,-71.05776276052949
892a3066467ffff,Boston,131.03982436062853,20,42.379437365037276,-71.05565846954323
892a3064b17ffff,Boston,131.0235334170168,6,42.25591129973238,-71.12585612503166
892a30660d3ffff,Boston,130.22211077650826,330,42.3799685424164,-71.06449552174318
892a3064eb3ffff,Boston,130.0,6,42.29439312964559,-71.11442855819969
892a3066b8bffff,Boston,129.88862594837613,4,42.299398887526735,-71.06206617686765
892a3066873ffff,Boston,129.83257331651365,44,42.31071304967139,-71.05728154252458
892a30644d3ffff,Cambridge,129.07062544540582,173,42.36106278205056,-71.11078172974211
892a306742bffff,Cambridge,128.91060130470595,23,42.39847908654322,-71.12907784445554
892a3067087ffff,Cambridge,128.33168896465511,60,42.39093706799512,-71.13024108768558
892a3074963ffff,Boston,127.2227234793301,5,42.3825643158673,-70.9953632492543
892a3074b1bffff,Boston,127.0,1,42.390697,-71.017794
892a30641dbffff,Boston,126.0,1,42.323939,-71.116537
892a3066b73ffff,Boston,125.13661463872758,138,42.291284627733354,-71.07296018340209
892a30663dbffff,Cambridge,124.19255696749626,3,42.36057887457182,-71.08393647613549
892a3066357ffff,Boston,123.89680809531123,29,42.35193829164369,-71.086116682804
892a30644bbffff,Boston,123.69433171435742,60,42.3504257171951,-71.10184558068696
892a3064e33ffff,Boston,123.23548027751391,3,42.289013908337544,-71.12545003532183
892a3066e4bffff,Boston,122.6866494078704,19,42.33500837866165,-71.08089684263237
892a30671abffff,Boston,121.60885184843147,5,42.3659079185807,-71.12011337252697
892a30649cbffff,Boston,121.47183610839716,116,42.26443226665977,-71.10452736412523
892a306752fffff,Cambridge,121.2161139662203,17,42.37715232481294,-71.11015516787214
892a3066a17ffff,Boston,120.80130461666899,168,42.31266673477749,-71.07666549573753
892a30671bbffff,Cambridge,120.65649489036113,13,42.36943067677692,-71.11571424268263
892a3066883ffff,Boston,120.26672416406902,8,42.31830286798631,-71.04165452425404
892a33936c7ffff,Boston,120.13402728946002,11,42.28092555639566,-71.05256720753407
892a306450fffff,Boston,119.50166075564076,42,42.32865537209419,-71.0991010125397
892a3066a4fffff,Boston,119.49672836627606,49,42.31292817878118,-71.09333814129093
892a306708bffff,Cambridge,119.41841476924688,22,42.39365362278856,-71.13642648794448
892a30645a3ffff,Boston,119.08723049675743,4,42.32804899501829,-71.08632475354324
892a3064337ffff,Boston,118.01174461571675,4,42.30467670372962,-71.13606911983629
892a3066aafffff,Boston,117.45286804253533,117,42.30726089053199,-71.07159451980063
892a3066317ffff,Boston,117.29062260316353,7,42.34955608403418,-71.07643766440178
892a3066503ffff,Boston,116.35709256381617,4,42.36934318510788,-71.03427598765074
892a3066803ffff,Boston,115.53846502317535,98,42.3123300726119,-71.0499818644105
892a30660c3ffff,Boston,115.46803380736826,69,42.37827375394809,-71.06627807977128
892a3066c43ffff,Boston,115.24239240175567,197,42.334421911911086,-71.04544922582421
892a3067563ffff,Cambridge,114.42177000321792,27,42.38244266716193,-71.11988354239476
892a3066c4fffff,Boston,113.99999999999999,2,42.33078864936816,-71.04897266779847
892a3064507ffff,Boston,113.96742189556636,21,42.328388585864346,-71.09386326054054
892a30646cfffff,Boston,113.50119768389177,23,42.35486966293644,-71.14669831518286
892a3066a3bffff,Boston,113.45581761185831,91,42.30705903878018,-71.08143899571017
892a3064da3ffff,Boston,112.47424107455538,51,42.272953015147145,-71.07054706226296
892a3064183ffff,Boston,112.36197824603387,53,42.31748010983889,-71.10201931837167
892a30646a3ffff,Boston,112.31049784204234,32,42.348303197959595,-71.13158002008491
892a3066a8bffff,Boston,111.96781122289102,128,42.318026051486605,-71.07640917840723
892a3067477ffff,Cambridge,111.71375425048547,14,42.40029572195008,-71.13079615199635
892a30662afffff,Cambridge,111.64702535971756,1,42.363253101929914,-71.08765357070658
